,KCBS Value,Noiseless Fidelity,Noisy Fidelity
0,2.0,2.037873454286933,1.6834534542869328
1,2.004817713826526,2.05133666324123,1.69691666324123
2,2.0096354276530524,2.065215531507942,1.710795531507942
3,2.0144531414795783,2.079536800910304,1.725116800910304
4,2.019270855306105,2.0943267980862106,1.7399067980862106
5,2.0240885691326316,2.1096168130947457,1.7551968130947457
6,2.0289062829591575,2.1254468890775007,1.7710268890775007
7,2.033723996785684,2.141854442552192,1.7874344425521922
8,2.0385417106122103,2.158883007704814,1.804463007704814
9,2.0433594244387363,2.176581259857683,1.822161259857683
10,2.048177138265263,2.1949988416833617,1.8405788416833617
11,2.0529948520917896,2.2141881163153565,1.8597681163153565
12,2.0578125659183155,2.234205520515249,1.879785520515249
13,2.062630279744842,2.255111453425976,1.9006914534259762
14,2.0674479935713683,2.27697036531748,1.9225503653174802
15,2.0722657073978947,2.2998532497110347,1.9454332497110347
16,2.077083421224421,2.3238338849515574,1.9694138849515574
17,2.081901135050947,2.348990260933672,1.9945702609336722
18,2.0867188488774735,2.3754023817694705,2.0209823817694703
19,2.091536562704,2.4031599422588825,2.048739942258883
20,2.096354276530526,2.4323638574113438,2.077943857411344
21,2.1011719903570527,2.463121690692558,2.108701690692558
22,2.105989704183579,2.49555239582211,2.14113239582211
23,2.110807418010105,2.5297707300864336,2.175350730086434
24,2.1156251318366315,2.5658911755289857,2.2114711755289855
25,2.120442845663158,2.6040426477061622,2.249622647706162
26,2.125260559489684,2.6443853588091453,2.2899653588091455
27,2.1300782733162107,2.6871082074293,2.3326882074292996
28,2.134895987142737,2.7324257573836026,2.378005757383603
29,2.139713700969263,2.7805975890825803,2.42617758908258
30,2.1445314147957895,2.8319435842575764,2.4775235842575762
31,2.149349128622316,2.886776600382825,2.5323566003828253
32,2.154166842448842,2.9455444750842323,2.591124475084232
33,2.1589845562753687,3.0087523506825065,2.6543323506825063
34,2.1638022701018946,3.07672443785334,2.7223044378533396
35,2.168619983928421,3.150367467383245,2.795947467383245
36,2.1734376977549474,3.2303623294559483,2.875942329455948
37,2.1782554115814734,3.3175393882295814,2.9631193882295817
38,2.183073125408,3.413931554311489,3.059511554311489
39,2.1878908392345267,3.5218436291469377,3.1674236291469375
40,2.1927085530610526,3.641691775391832,3.287271775391832
41,2.197526266887579,3.774654463683604,3.420234463683604
42,2.2023439807141054,3.9222190390364617,3.567799039036462
43,2.2071616945406314,4.084873551876786,3.730453551876786
44,2.2119794083671582,4.265206986414475,3.9107869864144744
45,2.2167971221936846,4.510323652010944,4.155903652010944
46,2.2216148360202106,4.966561980963687,4.6121419809636865
47,2.226432549846737,5.5165709838331765,5.162150983833176
48,2.2312502636732634,5.9487293450340415,5.594309345034041
49,2.2360679774997894,5.9999060401381685,5.645486040138168
