10.,45.
10.,43.
11.,65.
12.,35.
12.,38.
13.,47.
24.,49.
7.,57.
8.,49.
18.,32.
10.,57.
10.,42.
11.,36.
16.,48.
17.,51.
15.,42.
14.,47.
15.,44.
13.,39.
4.,39.
11.,38.
10.,41.
9.,43.
10.,35.
13.,48.
6.,53.
15.,53.
10.,47.
18.,39.
8.,48.
22.,45.
15.,42.
5.,45.
12.,43.
7.,45.
8.,37.
0.,1.
13.,36.
16.,55.
17.,40.
13.,37.
5.,54.
8.,49.
12.,50.
15.,39.
8.,39.
6.,34.
10.,41.
14.,43.
9.,35.
15.,50.
7.,53.
10.,45.
17.,45.
7.,46.
4.,49.
20.,51.
18.,43.
17.,44.
16.,45.
15.,44.
14.,54.
8.,55.
10.,44.
0.,2.
10.,44.
11.,41.
15.,53.
12.,49.
14.,50.
16.,38.
15.,43.
17.,42.
14.,48.
10.,41.
12.,48.
10.,45.
7.,45.
9.,40.
14.,39.
12.,63.
14.,45.
14.,32.
18.,41.
15.,41.
11.,48.
5.,46.
13.,36.
12.,42.
13.,42.
10.,40.
10.,42.
17.,61.
13.,46.
13.,36.
12.,42.
14.,43.
17.,44.
7.,54.
15.,43.
15.,51.
21.,44.
11.,57.
8.,58.
9.,39.
20.,36.
10.,32.
10.,39.
11.,46.
17.,57.
13.,48.
15.,61.
18.,39.
11.,48.
20.,44.
9.,44.
8.,37.
12.,52.
11.,47.
22.,40.
13.,41.
13.,44.
15.,45.
15.,37.
12.,45.
8.,53.
20.,42.
14.,39.
20.,32.
12.,51.
10.,47.
12.,39.
15.,56.
16.,47.
14.,40.
16.,61.
10.,28.
6.,44.
13.,51.
9.,44.
15.,37.
10.,39.
11.,44.
14.,53.
7.,29.
12.,49.
20.,47.
24.,49.
14.,27.
16.,42.
11.,35.
14.,40.
13.,47.
13.,41.
9.,41.
16.,48.
11.,41.
17.,45.
16.,51.
16.,44.
11.,43.
17.,37.
15.,44.
10.,62.
12.,39.
11.,36.
14.,37.
10.,49.
18.,41.
11.,39.
14.,53.
17.,0.
11.,45.
7.,44.
10.,51.
9.,44.
8.,53.
16.,43.
14.,45.
11.,47.
14.,49.
10.,42.
7.,47.
9.,45.
5.,45.
7.,52.
14.,56.
13.,48.
18.,46.
12.,45.
10.,44.
13.,43.
11.,49.
8.,40.
12.,41.
7.,47.
9.,47.
17.,55.
10.,56.
16.,44.
18.,54.
11.,44.
12.,44.
21.,45.
6.,40.
6.,43.
11.,45.
10.,44.
16.,57.
18.,46.
11.,54.
14.,57.
10.,45.
13.,35.
16.,45.
13.,40.
13.,48.
17.,35.
11.,40.
13.,48.
9.,52.
15.,54.
16.,50.
7.,46.
14.,38.
13.,44.
12.,39.
10.,33.
14.,36.
10.,60.
11.,46.
15.,45.
15.,42.
9.,56.
14.,41.
13.,47.
13.,38.
8.,48.
12.,35.
14.,40.
14.,56.
9.,38.
19.,50.
15.,39.
13.,41.
11.,45.
14.,40.
18.,54.
13.,42.
14.,47.
11.,41.
7.,54.
16.,36.
15.,51.
8.,35.
9.,46.
8.,47.
15.,48.
9.,53.
13.,51.
16.,48.
12.,44.
16.,47.
6.,49.
10.,60.
9.,24.
6.,52.
8.,55.
8.,46.
13.,51.
15.,36.
16.,51.
13.,46.
10.,46.
17.,35.
14.,37.
15.,42.
14.,37.
17.,37.
7.,35.
20.,51.
12.,35.
10.,43.
12.,54.
14.,57.
12.,44.
9.,43.
16.,46.
20.,40.
4.,44.
12.,52.
12.,43.
13.,48.
20.,39.
14.,36.
17.,40.
10.,43.
11.,51.
19.,51.
15.,43.
13.,45.
15.,46.
11.,52.
13.,41.
11.,45.
9.,48.
14.,46.
13.,45.
14.,47.
12.,32.
15.,40.
13.,42.
15.,45.
13.,40.
11.,46.
12.,38.
15.,51.
12.,46.
18.,41.
16.,37.
13.,45.
7.,35.
15.,44.
10.,34.
10.,40.
16.,51.
15.,46.
13.,55.
17.,45.
15.,42.
11.,52.
10.,47.
10.,46.
12.,57.
6.,51.
13.,42.
13.,56.
8.,43.
12.,52.
14.,36.
13.,41.
5.,48.
13.,49.
9.,43.
16.,40.
7.,46.
10.,42.
9.,41.
10.,47.
12.,39.
15.,57.
17.,42.
15.,54.
7.,44.
19.,55.
8.,35.
8.,46.
16.,40.
14.,45.
21.,36.
5.,56.
11.,41.
21.,48.
20.,46.
10.,37.
14.,47.
7.,53.
13.,45.
12.,57.
15.,50.
13.,44.
10.,41.
20.,37.
13.,40.
7.,38.
12.,31.
10.,51.
16.,49.
14.,59.
8.,53.
10.,43.
10.,39.
13.,60.
12.,48.
12.,41.
9.,43.
8.,37.
12.,34.
16.,38.
12.,43.
8.,37.
9.,34.
17.,40.
13.,56.
18.,51.
23.,52.
9.,38.
15.,39.
15.,42.
13.,43.
12.,41.
10.,34.
16.,40.
7.,47.
13.,35.
13.,48.
16.,47.
9.,43.
17.,46.
11.,41.
8.,44.
7.,47.
6.,47.
13.,48.
15.,56.
14.,49.
9.,42.
10.,38.
12.,45.
8.,32.
13.,44.
15.,47.
11.,40.
8.,32.
14.,44.
18.,48.
13.,42.
19.,39.
10.,48.
16.,50.
18.,37.
18.,48.
15.,53.
19.,48.
12.,36.
13.,32.
16.,47.
10.,33.
17.,53.
17.,40.
19.,53.
13.,47.
12.,36.
13.,38.
18.,36.
13.,40.
17.,46.
11.,0.
12.,51.
13.,52.
12.,44.
12.,34.
12.,44.
18.,52.
18.,43.
15.,50.
14.,35.
11.,54.
0.,0.
14.,50.
11.,41.
16.,40.
11.,46.
16.,31.
11.,56.
16.,45.
11.,40.
16.,49.
13.,53.
8.,53.
10.,45.
8.,45.
7.,39.
12.,47.
11.,49.
13.,56.
14.,40.
8.,40.
7.,41.
12.,43.
12.,38.
5.,40.
18.,40.
14.,57.
19.,45.
12.,50.
14.,56.
10.,34.
5.,43.
10.,58.
9.,43.
8.,43.
5.,30.
16.,41.
17.,55.
16.,44.
7.,40.
11.,41.
19.,46.
15.,52.
14.,45.
10.,32.
12.,37.
13.,45.
14.,41.
19.,37.
8.,39.
13.,43.
12.,29.
13.,51.
14.,48.
15.,44.
10.,46.
11.,47.
20.,40.
12.,41.
9.,47.
11.,52.
9.,49.
16.,39.
23.,29.
8.,47.
11.,40.
14.,53.
13.,51.
15.,47.
0.,0.
13.,48.
15.,44.
16.,50.
12.,47.
16.,49.
