9.,17.,0.
6.,0.,0.
6.,9.,0.
6.,10.,1.
6.,10.,1.
8.,0.,44.
8.,0.,0.
7.,0.,52.
6.,0.,1.
10.,0.,39.
7.,16.,0.
8.,0.,1.
6.,16.,1.
10.,0.,37.
8.,0.,1.
10.,0.,33.
10.,0.,41.
7.,14.,1.
8.,0.,2.
10.,0.,53.
7.,15.,0.
10.,0.,0.
9.,12.,1.
9.,16.,0.
8.,0.,42.
8.,0.,62.
6.,0.,0.
10.,0.,52.
7.,15.,0.
9.,9.,1.
9.,10.,0.
10.,0.,47.
6.,0.,0.
10.,0.,49.
8.,0.,40.
6.,17.,1.
7.,0.,42.
9.,18.,0.
7.,15.,1.
8.,0.,2.
10.,1.,61.
8.,0.,1.
8.,0.,1.
10.,0.,40.
8.,0.,1.
10.,0.,41.
7.,15.,1.
7.,18.,1.
8.,0.,0.
8.,0.,0.
6.,0.,2.
8.,0.,50.
7.,15.,0.
10.,1.,36.
6.,20.,0.
6.,0.,0.
6.,8.,1.
6.,14.,1.
6.,0.,1.
7.,14.,0.
10.,0.,48.
8.,0.,0.
7.,11.,1.
7.,0.,0.
8.,0.,50.
7.,17.,3.
6.,0.,1.
8.,0.,44.
8.,0.,57.
6.,0.,1.
10.,0.,42.
7.,0.,1.
7.,11.,0.
10.,0.,34.
8.,0.,42.
8.,0.,43.
6.,14.,0.
9.,18.,1.
8.,0.,48.
7.,0.,42.
6.,0.,1.
9.,10.,0.
9.,30.,1.
8.,0.,1.
7.,0.,1.
6.,18.,1.
6.,11.,0.
6.,14.,0.
7.,18.,2.
6.,10.,0.
6.,15.,1.
8.,0.,45.
7.,0.,43.
8.,0.,38.
6.,14.,0.
7.,0.,44.
7.,0.,50.
6.,19.,0.
10.,0.,47.
8.,10.,0.
10.,1.,34.
8.,0.,42.
8.,0.,0.
9.,18.,0.
7.,0.,0.
6.,14.,0.
10.,0.,46.
6.,0.,0.
7.,17.,0.
9.,13.,0.
10.,0.,36.
7.,15.,0.
7.,14.,0.
10.,0.,37.
8.,0.,49.
9.,23.,0.
9.,17.,0.
6.,0.,2.
9.,14.,0.
8.,0.,48.
7.,0.,42.
9.,21.,1.
9.,22.,0.
7.,0.,51.
7.,0.,1.
8.,0.,0.
8.,0.,2.
6.,6.,0.
8.,0.,40.
9.,16.,0.
8.,0.,0.
7.,7.,0.
10.,0.,45.
7.,0.,48.
8.,1.,1.
10.,0.,39.
6.,20.,0.
7.,18.,0.
9.,19.,1.
8.,0.,0.
9.,13.,0.
8.,0.,0.
8.,0.,46.
7.,16.,1.
9.,22.,0.
7.,16.,1.
8.,0.,0.
9.,18.,1.
9.,12.,1.
6.,7.,3.
9.,13.,0.
8.,0.,1.
8.,0.,50.
6.,0.,1.
7.,9.,1.
7.,0.,38.
9.,18.,2.
10.,0.,37.
7.,18.,2.
9.,17.,0.
8.,0.,54.
10.,0.,52.
7.,0.,56.
6.,14.,2.
10.,0.,39.
9.,17.,0.
7.,2.,37.
7.,0.,36.
8.,0.,0.
10.,0.,47.
10.,0.,46.
7.,13.,0.
7.,1.,42.
6.,0.,52.
10.,0.,53.
8.,0.,48.
9.,10.,1.
8.,0.,38.
8.,0.,0.
6.,0.,0.
10.,0.,44.
8.,0.,0.
9.,11.,1.
10.,0.,38.
6.,13.,0.
6.,0.,1.
6.,16.,0.
8.,0.,0.
9.,20.,0.
10.,0.,47.
9.,13.,0.
9.,21.,0.
6.,0.,0.
8.,0.,0.
7.,15.,0.
10.,0.,46.
6.,0.,0.
7.,1.,0.
6.,8.,1.
6.,0.,1.
6.,19.,0.
8.,0.,33.
9.,15.,1.
6.,8.,0.
8.,0.,2.
10.,0.,44.
7.,0.,39.
6.,12.,1.
8.,0.,1.
10.,0.,45.
8.,0.,1.
6.,0.,1.
6.,0.,0.
7.,15.,1.
9.,10.,49.
9.,17.,54.
9.,15.,0.
10.,0.,47.
10.,0.,51.
6.,28.,1.
10.,0.,47.
6.,15.,1.
8.,0.,0.
8.,0.,1.
8.,0.,1.
9.,12.,1.
8.,0.,31.
8.,0.,0.
8.,0.,0.
10.,0.,34.
10.,0.,44.
10.,0.,35.
10.,1.,49.
8.,1.,0.
8.,0.,0.
6.,6.,1.
9.,22.,2.
9.,14.,0.
9.,22.,1.
7.,0.,36.
6.,0.,2.
10.,0.,40.
6.,15.,0.
6.,8.,2.
10.,0.,40.
9.,18.,1.
6.,0.,0.
6.,12.,1.
9.,10.,1.
6.,0.,0.
6.,1.,1.
9.,14.,2.
9.,19.,3.
9.,17.,0.
10.,0.,48.
7.,1.,28.
9.,15.,0.
9.,15.,0.
8.,0.,0.
8.,0.,46.
9.,18.,1.
7.,0.,57.
9.,21.,0.
6.,13.,1.
9.,16.,0.
6.,0.,0.
10.,0.,38.
9.,16.,0.
9.,14.,0.
8.,0.,0.
7.,0.,44.
7.,13.,1.
6.,20.,0.
7.,0.,0.
7.,11.,0.
7.,0.,54.
9.,17.,0.
9.,12.,0.
10.,0.,52.
9.,21.,0.
6.,0.,0.
9.,9.,0.
9.,16.,0.
6.,0.,0.
9.,11.,0.
9.,20.,0.
9.,19.,0.
8.,1.,1.
10.,0.,58.
10.,0.,36.
10.,0.,44.
7.,15.,1.
7.,0.,0.
9.,10.,0.
9.,21.,0.
8.,1.,1.
6.,12.,0.
6.,0.,0.
9.,15.,0.
9.,21.,0.
8.,0.,42.
10.,0.,49.
8.,0.,41.
7.,10.,0.
6.,0.,0.
10.,0.,43.
8.,0.,0.
9.,12.,0.
9.,15.,1.
10.,0.,50.
8.,0.,37.
10.,0.,39.
6.,0.,2.
10.,0.,49.
7.,0.,0.
9.,12.,0.
6.,0.,1.
9.,23.,2.
6.,0.,1.
6.,0.,0.
10.,0.,38.
10.,0.,35.
6.,0.,0.
7.,0.,51.
10.,0.,42.
8.,0.,59.
6.,14.,2.
7.,10.,0.
7.,0.,0.
7.,0.,58.
9.,13.,0.
9.,19.,0.
7.,0.,47.
9.,14.,0.
7.,15.,1.
7.,0.,36.
6.,0.,1.
9.,20.,1.
6.,10.,0.
6.,14.,1.
8.,0.,42.
10.,0.,43.
10.,0.,44.
10.,0.,44.
10.,0.,39.
6.,0.,0.
10.,0.,47.
8.,0.,1.
7.,20.,0.
6.,0.,0.
10.,0.,38.
7.,0.,37.
7.,14.,2.
9.,10.,1.
10.,0.,36.
7.,0.,50.
10.,0.,30.
8.,0.,0.
8.,1.,42.
8.,0.,1.
8.,0.,40.
8.,0.,0.
6.,12.,0.
10.,0.,47.
8.,0.,1.
9.,17.,0.
8.,0.,0.
7.,12.,1.
8.,0.,0.
7.,0.,50.
9.,12.,2.
8.,0.,0.
9.,9.,0.
6.,0.,1.
10.,0.,49.
6.,0.,1.
10.,0.,44.
8.,0.,40.
6.,9.,0.
9.,10.,0.
6.,0.,0.
10.,0.,46.
8.,0.,38.
8.,0.,44.
6.,0.,0.
6.,0.,5.
10.,0.,52.
6.,0.,0.
6.,0.,0.
9.,12.,0.
8.,0.,0.
10.,0.,52.
7.,9.,0.
6.,0.,1.
6.,0.,0.
10.,0.,52.
8.,0.,50.
9.,11.,0.
7.,1.,51.
10.,0.,40.
6.,0.,0.
8.,1.,56.
10.,0.,48.
7.,0.,0.
10.,0.,47.
10.,0.,45.
10.,0.,34.
7.,0.,58.
8.,0.,1.
6.,0.,1.
10.,0.,46.
10.,0.,33.
8.,0.,40.
9.,14.,0.
6.,12.,0.
6.,0.,1.
7.,0.,28.
9.,16.,0.
10.,0.,51.
7.,0.,47.
8.,0.,1.
9.,13.,0.
9.,16.,0.
8.,0.,2.
10.,0.,42.
7.,13.,0.
9.,28.,0.
8.,0.,0.
6.,0.,1.
10.,0.,43.
9.,16.,0.
8.,0.,52.
7.,17.,0.
6.,11.,0.
8.,0.,0.
7.,11.,0.
8.,0.,31.
6.,0.,0.
7.,0.,44.
8.,0.,0.
10.,0.,50.
9.,10.,1.
9.,21.,0.
7.,8.,0.
8.,0.,0.
9.,11.,0.
8.,0.,0.
10.,0.,59.
6.,0.,1.
6.,0.,0.
9.,20.,0.
8.,0.,1.
8.,0.,1.
8.,0.,0.
8.,0.,0.
7.,0.,52.
9.,15.,0.
9.,24.,1.
9.,16.,0.
7.,0.,0.
10.,1.,31.
9.,12.,1.
7.,0.,50.
8.,0.,46.
10.,0.,40.
6.,0.,42.
7.,0.,26.
10.,0.,47.
7.,15.,0.
6.,0.,1.
9.,12.,0.
10.,0.,55.
6.,10.,0.
6.,0.,1.
6.,1.,2.
9.,13.,1.
7.,10.,0.
9.,10.,0.
7.,0.,46.
7.,0.,0.
9.,19.,2.
8.,0.,45.
9.,12.,3.
9.,11.,0.
9.,17.,1.
9.,21.,1.
8.,0.,51.
9.,20.,0.
8.,0.,0.
6.,10.,0.
10.,0.,47.
8.,0.,2.
8.,0.,1.
6.,0.,0.
10.,0.,32.
8.,0.,1.
7.,0.,40.
8.,0.,46.
8.,0.,47.
7.,0.,0.
10.,0.,55.
6.,0.,0.
9.,14.,1.
7.,0.,48.
9.,17.,1.
9.,12.,0.
6.,0.,2.
9.,18.,1.
8.,0.,63.
7.,15.,1.
6.,0.,0.
6.,16.,1.
10.,0.,36.
10.,0.,38.
6.,0.,0.
8.,1.,1.
8.,0.,59.
10.,0.,51.
6.,0.,0.
9.,20.,0.
9.,12.,38.
6.,0.,0.
8.,0.,46.
9.,19.,0.
9.,7.,2.
9.,11.,0.
7.,12.,0.
8.,0.,0.
7.,20.,0.
6.,0.,1.
10.,0.,36.
6.,0.,1.
10.,1.,43.
10.,0.,34.
8.,0.,41.
10.,0.,36.
8.,0.,40.
6.,0.,0.
7.,11.,1.
9.,29.,2.
10.,0.,41.
10.,1.,38.
10.,0.,45.
8.,0.,41.
8.,0.,0.
6.,0.,0.
6.,13.,0.
7.,21.,0.
7.,18.,0.
6.,0.,0.
7.,0.,0.
9.,24.,0.
8.,0.,48.
8.,0.,49.
7.,0.,1.
7.,21.,1.
8.,0.,29.
9.,16.,0.
6.,18.,0.
8.,0.,1.
8.,0.,0.
7.,18.,0.
8.,0.,36.
7.,18.,0.
10.,0.,39.
7.,0.,50.
10.,0.,48.
8.,0.,1.
6.,15.,1.
8.,0.,2.
6.,0.,0.
9.,16.,0.
7.,0.,3.
8.,0.,0.
6.,0.,0.
7.,0.,47.
10.,0.,42.
9.,12.,0.
8.,0.,1.
6.,0.,0.
10.,0.,41.
9.,14.,0.
7.,10.,1.
8.,0.,1.
9.,13.,0.
9.,10.,2.
10.,0.,35.
7.,0.,34.
7.,14.,0.
10.,0.,61.
8.,0.,46.
8.,0.,48.
8.,0.,26.
6.,16.,2.
10.,0.,52.
6.,0.,2.
9.,22.,0.
10.,0.,39.
8.,0.,49.
7.,8.,0.
6.,0.,0.
